G L 30 190
0 2 4
0 21 8
0 25 6
0 29 8
0 7 1
0 14 1
0 23 1
1 25 9
1 9 6
1 1 5
1 5 3
1 8 7
1 28 3
1 18 5
2 26 9
2 4 5
2 7 6
2 1 1
2 27 4
2 19 6
3 8 9
3 19 7
3 3 1
3 9 4
3 29 9
3 18 6
3 20 3
4 7 4
4 1 5
4 5 3
4 13 9
4 10 5
4 11 9
4 8 9
5 13 2
5 8 6
5 25 9
5 6 9
5 7 5
5 14 6
5 20 2
6 15 1
6 28 1
6 8 8
6 9 2
6 6 3
6 1 9
6 23 4
7 26 2
7 19 1
7 21 3
7 14 2
7 10 2
8 24 8
8 29 4
8 14 9
8 12 3
8 27 1
9 20 6
9 21 2
9 29 9
19 9 0
9 4 2
9 2 7
10 0 9
10 26 1
10 22 7
10 25 5
10 18 5
10 6 4
10 21 6
11 29 5
11 5 5
11 7 8
11 22 1
11 11 3
11 27 2
11 19 2
12 7 1
12 26 9
12 27 5
12 24 1
12 14 8
12 10 7
13 14 3
13 12 3
13 24 6
13 25 8
13 21 2
13 16 4
14 2 8
14 3 5
14 16 1
14 22 3
14 29 6
14 1 7
14 24 3
15 11 6
15 1 4
15 23 5
15 21 1
15 8 8
15 19 1
15 4 7
16 2 8
16 21 9
16 11 2
16 28 4
16 15 5
16 1 7
16 7 7
17 3 1
17 29 4
17 7 4
17 27 8
17 9 5
17 26 9
17 14 5
18 6 4
18 5 3
18 16 9
18 27 7
18 12 8
18 21 3
18 4 3
19 8 3
19 1 5
19 29 3
19 18 1
19 19 8
20 21 1
20 4 1
20 15 9
20 6 4
20 0 9
20 25 5
20 27 6
21 27 1
21 1 7
21 22 3
21 2 2
21 26 2
21 19 1
22 12 6
22 20 3
22 19 3
22 24 6
22 3 9
22 0 5
23 28 9
23 8 6
23 5 1
23 22 2
23 4 3
23 11 1
23 21 9
24 15 3
24 21 3
24 7 3
24 1 3
24 6 8
25 16 2
25 29 3
25 24 3
25 3 4
25 7 1
25 19 4
26 20 8
26 15 3
26 26 6
26 5 7
26 28 9
26 14 8
26 4 9
27 19 4
27 25 6
27 6 5
27 4 5
27 15 3
28 18 4
28 8 2
28 17 6
28 13 8
28 29 9
28 15 4
28 2 1
29 24 9
29 15 2
29 6 7
29 23 9
IG
VA 15
AA 29 10 3
VA 6
MP
RA 0 14 
RA 13 25 
AA 29 12 5
VA 14
IT
AA 5 29 8
VA 19
RA 29 28 
RA 15 8 
AA 5 19 8
MP
AA 22 28 2
RA 21 22 
VA 7
AA 3 12 5
AA 9 22 4
AA 9 11 7
VA 24
AA 4 28 1
VA 6
RA 12 7 
RA 1 5 
AA 8 21 7
VA 14
MP
VA 26
IT
AA 5 24 2
AA 27 26 3
MP
AA 4 12 2
RA 8 29 
RA 28 8 
MP
VA 22
MP
RA 26 28 
RA 17 27 
RA 18 12 
RA 10 6 
MP
MP
MP
MP
RA 13 24 
MP
RA 27 20 
RA 16 21 
RA 28 17 
RA 18 5 
RA 21 1 
IT
RA 25 3 
MP
RA 2 19 
AA 18 9 5
RA 11 27 
AA 10 12 9
AA 27 13 2
RA 3 19 
RA 7 21 
VA 5
VA 18
AA 6 17 6
RA 2 26 
MP
AA 17 2 2
MP
VA 25
MP
RA 19 3 
MP
RA 7 4 
RA 6 28 
RA 13 14 
RA 5 24 
AA 24 19 2
IT
MP
AA 28 6 3
MP
AA 6 7 2
IT
AA 13 7 8
MP
MP
RA 0 29 
VA 2
VA 20
AA 7 6 1
RA 9 21 
AA 12 16 1
AA 24 3 4
VA 24
MP
IT
AA 7 27 9
VA 23
AA 4 3 1
MP
MP
AA 23 1 6
VA 19
AA 15 10 8
VA 11
VA 22
MP
MP
AA 23 25 8
VA 4
VA 4
VA 12
MP
VA 21
IT
AA 12 5 7
AA 3 1 7
AA 13 3 3
RA 3 20 
VA 0
AA 7 11 1
IT
VA 13
MP
AA 29 22 6
IT
AA 7 0 6
AA 0 16 2
IT
AA 28 26 5
AA 9 7 5
RA 9 7 
RA 22 11 
VA 27
MP
AA 29 11 1
VA 26
AA 13 6 3
VA 4
RA 9 20 
AA 15 15 6
AA 18 2 1
VA 4
RA 1 1 
RA 17 3 
MP
IT
AA 0 6 7
MP
IT
RA 14 16 
RA 13 21 
RA 9 11 
AA 23 29 5
RA 11 19 
RA 3 1 
RA 20 4 
AA 28 11 2
RA 17 7 
AA 3 21 1
IT
AA 14 10 6
AA 20 16 1
MP
VA 19
RA 26 20 
VA 1
AA 13 18 7
MP
RA 20 25 
AA 15 27 8
IT
AA 6 22 7
MP
RA 14 10 
MP
RA 24 7 
RA 26 14 
VA 28
AA 17 4 6
AA 18 8 8
AA 23 13 4
VA 11
VA 25
AA 11 6 8
MP
AA 19 12 8
VA 13
AA 7 22 8
AA 25 22 8
RA 27 8 
AA 15 13 7
AA 11 24 3
VA 25
AA 19 0 9
AA 27 23 2
AA 2 14 3
RA 19 12 
VA 0
RA 20 15 
MP
AA 2 25 1
RA 1 9 
RA 19 1 
IT
IT
IG
IT
